Korean,English
확인하다,Confirm
모임,class
아무,nothing
웃음,laugh
기계,machine
모양,shape
물질,matter
아나운서,announcer
뉴스,news
살아가다,Live
펴다,Spread
겨울,winter
종교,religion
층,floor
자연스럽다,natural
돌다,spin
식사,meal
안다,know
잊다,forget
제시하다,Present
반,half
불과하다,Only
혹은,or
엄청나다,tremendous
텔레비전,television
파악하다,Seize
실천,implement
노력하다,do the efforts
보호,protect
씻다,wash
한편,Meanwhile
이웃,Neighborhood
편지,letter
공동,public
까닭,reason
방안,measures
센티미터,centimeter
분명하다,Obvious
분석,analysis
소녀,girl
지나가다,Pass by
상품,Goods
설명,Explanation
훌륭하다,excellent
관계자,Officials
새로,New
이어지다,be connected
티브이,TV
봄,spring
종류,type
낮다,low
어깨,shoulder
지적하다,Point out
부부,married couple
오래,long time
요구,request
키우다,grow
눕다,lay down
발달하다,develop
발전하다,improve
여행,Travel
죽음,death
고통,pain
등장하다,appear
공,zero
듯이,As if
어울리다,comport
오월,May
알리다,inform
멀리,far
빼다,remove
예정,expected
오빠,brother
즐겁다,fun
한계,Limit
흔히,Often
바탕,background
사월,April
싸우다,fight
언제,when
예쁘다,pretty
갈등,conflict
느껴지다,Feel
의지,willpower
전문,specialty
정확하다,Accurate
초기,Early
나중,later
맛있다,delicious
며칠,few days
신경,nerve
찾아오다,come to
미,mi
사용,use
시선,Sight
아무런,Any
언론,Press
투자,investment
지원,support
결정하다,decide
경영,management
목표,target
성장,growth
숲,forest
없어지다,Run out
작년,last year
내려가다,go down
떠오르다,fly
새벽,dawn
쓰레기,Garbage
얼른,hurry
피해,Harm
무섭다,scary
직장,rectal
참다,suppress
크기,size
고기,meat
남기다,leave
서양,Western
주요,main
가져오다,Bring
냄새,smell
부드럽다,soft
여기다,It's here
공연,show
남녀,Men and women
내놓다,put out
떼다,cut
만들어지다,Made
속도,speed
심각하다,Serious
준비,Ready
계속되다,Continue
구월,September
맑다,clear
소년,boy
소식,News
유월,June
작용,Action
허리,waist
골,goal
공업,industry
그중,among them
노인,old man
벌다,Earn
살리다,save
영어,english
출신,Native
결정,decision
경향,tendency
기록,record
나름,depending on
대답하다,Answer
반면,On the other hand
썰다,chop
움직임,movement
이미지,image
터지다,To explode
특성,characteristic
교장,Principal
벗다,take off
업무,work
입시,Entrance examination
준비하다,Prepare
청소년,Teenager
돕다,help
응,yes
이기다,win
찾아보다,To look for
다루다,treat
달,moon
사장,CEO
삼월,March
그렇지만,but
선배,senior
업체,company
키,key
국회,Congress
그러므로,therefore
포함하다,Comprise
걱정,worry
결혼하다,Get married
만약,what if
세월,time
숨,breath
깨닫다,realize
누나,sister
왕,king
점점,Gradually
질문,Questions
특별,Special
판단,judgment
해결하다,solve
계속하다,Continue
그치다,stop
근처,around
너무나,too
높이다,heighten
부정,denial
사정,circumstances
도대체,why
부모님,parents
수출,Export
그,that
자르다,cut
데리다,be accompanied
마리,number of animals
무척,very
비용,cost
비행기,airplane
옳다,right
원래,usually
처리,process
최초,the first
꼴,form
놀이,play
뜨겁다,hot
뿌리,Root
그리하여,therefore
낮,afternoon
일찍,early
직원,employee
찍다,hew
가볍다,light
내부,inside
다소,a little
상대,opponent
오전,morning
피부,skin
가게,store
가득,full
그저,just
벽,wall
장군,General
무역,Trade
부담,Burden
약속,promise
줄,line
쳐다보다,To look at
충분히,enough
신체,body
에너지,energy
위원,commissioner
정리하다,Straighten out
집안,house management
배경,background
죽이다,To kill
단순하다,simple
반대,the opposite
법칙,Rule
빠지다,fall in
소금,salt
오염,pollution
자전거,bicycle
참여하다,participate
탓,fault
푸르다,Green
그래,okay
목,neck
발표,Announcement
범죄,crime
흔들다,shake
기초,Foundation
논리,logic
드라마,drama
뽑다,select
피우다,smoke
감각,sense
미리,already
부족하다,lack
저희,we
진행되다,Proceed
교통,traffic
법,law
오랜,long-time
젊은이,young people
후보,candidate
과제,assignment
근거,Evidence
기록하다,Record
다가오다,to come closer
불다,blow
이끌다,lead
종합,Synthesis
한글,korean
가을,autumn
개발하다,Develop
떨다,shiver
손가락,finger
수단,Way
자유롭다,free
적극적,active
판매,sale
형성,formation
기울이다,Tilt
길이,length
장면,scene
점차,gradually
톤,ton
관련되다,It is related
급,class
나머지,Remainder
날씨,weather
더불다,Further
동물,animal
개방,Opening
건강하다,healthy
미래,future
앞서,previously
여러분,everyone
왜냐하면,because
인구,population
기대하다,Expect
네,yes
도착하다,arrive
소프트웨어,software
흘리다,spill
반응,reaction
주인공,Hero
당연하다,Natural
따뜻하다,Warm
따로,seperately
비판,Criticism
빌리다,borrow
세대,Generation
축구,soccer
형님,older brother
놓이다,go
당장,right now
무렵,Around
사물,objects
일반적,In general
장소,Place
곱다,pretty
바닥,floor
새끼,young
생각되다,Think
서비스,service
선택하다,Choose
심다,plant
적다,little
코,nose
간단하다,Simple
고등학교,high school
공개,open
교실,classroom
스스로,myself
견디다,Endure
막히다,blocked
매체,media
복잡하다,Complex
뿌리다,spread
영역,area
체험,experience
구속,Restriction
때로,Sometimes
어쩌면,perhaps
극복하다,Overcome
비밀,secret
색,color
일정하다,Constant
다지다,Float
밝혀지다,Reveal
알맞다,fit
이념,Ideology
희다,Whiten
가리키다,point out
모시다,wait on
발달,develop
수많다,Numerous
치르다,pay
평화,peace
공사,construction
돌,rock
똑같다,same
박사,doctor
전문가,expert
말씀하다,Spoke
무용,dancing
싸움,fight
자꾸,Repeatedly
차리다,Set up
해외,Overseas
그리,picture
문화재,Cultural Heritage
미소,smile
식당,Restaurant
의미하다,Mean
이래,since
체육,Athletic
구성되다,consist of
독특하다,special
땀,sweat
사례,example
소개하다,introduce
잘되다,go well
추진하다,carry forward
칠월,July
틀,frame
평균,Average
훈련,training
흐름,flow
십이월,Twelve
쌓이다,To stack up
이익,profit
쥐다,hold
게다가,furthermore
끓이다,boil
논문,Paper
멈추다,Stop
사용되다,be used
오랫동안,for a long time
위기,Danger
정당,party
종이,paper
찾아가다,to go look for
폭력,violence
혹시,Perhaps
늘다,gain
절차,procedure
계시다,be there
닿다,reach
물론,of course
속하다,Belong
올림픽,Olympic
이외,Other
재미,fun
제공하다,Offer
증가하다,Increase
기대,Expectation
떡,rice cake
식물,plant
옛,ancient
외치다,shout out
적어도,At least
편하다,relaxing
권리,right
끝내다,finish
대답,answer
시작,start
어려움,difficulty
일주일,one week
자원,resource
춤,Dance
넘기다,to pass over
드리다,give
물체,object
분명히,clearly
시위,demonstration
아무것,nothing
온,On
젖다,get wet
제외하다,Except
최대,maximum
평소,usually
견해,View
깨끗하다,Clean
농사,farming
더구나,Moreover
안정,stability
어둠,darkness
어둡다,dark
어쨌든,anyway
주택,Housing
관련하다,Relate
눈길,line of vision
물어보다,ask
미안하다,sorry
밀다,Push
스트레스,stress
음,Well
인사,Greetings
주어지다,Given
고려하다,consider
과일,fruit
널리,extensively
농촌,Rural
올라오다,Climb up
챙기다,take
바르다,Cover
소재,Material
전망,View
포기하다,give up
형성되다,Form
고치다,Fix
그림자,shadow
눈,Eye
다하다,fulfill
마침내,Finally
비교하다,Compare with
시월,October
커지다,grow big
한쪽,pair
결론,conclusion
들이다,admit
맡기다,entrust
박물관,Museum
소문,rumor
싣다,load
쌓다,stack
어서,hurry
자녀,children
제목,title
짓,act
판결,verdict
팔월,August
하얗다,White
희망,Hope
가방,bag
군대,army
그만큼,that much
무어,Moore
비로소,for the first time
상대방,opponent
서구,Western
소유,possession
시골,countryside
실수,mistake
잘못되다,Misplace
치료,cure
폭,width
호,like
내밀다,hold out
맞다,right
부문,sector
시리즈,series
임신,Pregnant
잡히다,be caught
규정,Rule
그램,gram
밭,field
분석하다,Analyze
식구,family
아예,At all
어찌,For some reason
작용하다,Apply
확실하다,It is certainly
개선,Improving
그릇,Bowl
글자,letter
바람직하다,desirable
연구하다,Research
착하다,kind
개,dog
라디오,radio
부동산,real estate
신화,mythology
점,dot
직업,job
거두다,Reap
방학,Vacation
범위,range
조상,Ancestor
철학,philosophy
검다,Black
곁,neighborhood
근본적,Fundamental
너희,you
대형,large
따다,Pick
문제점,problem
본격적,Full -fledged
불가능하다,impossible
충격,Shock
퍼지다,spread
금방,soon
남쪽,South
누르다,Press down
미술,Art
백성,the people
상당히,Pretty
색깔,Color
요리,Cooking
유명하다,Famous
자네,you
꽤,fairly
서로,each other
외국인,foreigner
한참,long time
끊다,Quit
넘어가다,skip
담기다,Contain
서두르다,hurry
짝,match
참으로,Indeed
충분하다,Suffice
기쁘다,pleased
숙제,homework
앞두다,Be ahead
예산,budget
온갖,All kinds of
우려,concern
우산,umbrella
기쁨,pleasure
꾸미다,decorate
늘리다,increase
무릎,knee
발견되다,discovered
보호하다,Protect
시스템,system
이용,Use
지난달,last month
지르다,kick
참여,Participation
걸음,step
겨우,barely
마르다,dry
비교적,Comparative
애쓰다,whittle away
올바르다,Be correct
책상,table
춥다,cold
흔하다,common
높아지다,Increase
늙다,old
단위,unit
뛰어나다,outstanding
무겁다,heavy
상상,Imagination
소득,income
수도,capital
인식하다,Cognize
침대,bed
권,volume
맺다,form
수요,demand
스타,star
시계,watch
입술,Lips
잎,leaf
중간,middle
지도자,Leader
천천히,slowly
구성하다,Make up
대체로,generally
때리다,hit
몹시,Very
문득,suddenly
스포츠,sports
위원장,Chairman
특별하다,special
효과적,effective
넘어서다,Be over
볶다,fry
생산하다,Produce
언젠가,someday
예술가,artist
의도,Intent
저지르다,Commit
줄어들다,Decrease
가만히,Still
건,case
교회,church
외부,Out
한두,One or two
한때,onetime
화,fury
흙,soil
가난하다,poor
고객,client
과학자,Scientist
관광,tourism
살아오다,Live
상대적,Relative
수술,Operation
식품,food
일월,January
회원,member
도서관,library
들려오다,Hear
조금씩,gradually
조미료,Condiment
풀리다,Relent
강력하다,Be powerful
들여다보다,Look into
마늘,garlic
선물,gift
습관,habit
아주머니,old lady
위험,danger
지하,Underground
활용하다,utilize
가꾸다,Nurture
고민,worry
떠올리다,recall
맨,Man
법률,law
상처,wound
좁다,narrow
지하철,subway
집다,nip
현,hyeon
화면,screen
대표적,Representative
만일,if
사회적,social
생겨나다,Form
이어,Following
주부,housewife
진리,truth
태양,Sun
틀림없다,It must be
피다,Blossom
공급,supply
동료,colleague
잘못,wrong
채우다,Fill
균형,balance
기본적,Basic
사무실,office
이월,carried over to
일요일,Sunday
접근,Access
지켜보다,Watch
개성,Individuality
달리다,run
더하다,add
띄다,Stand
무너지다,fallen
보통,usually
이러다,Like this
일어서다,get up
죄,crime
총장,General
핵심,main point
후반,Latter
단순히,simply
달려가다,Run
불만,dissatisfaction
불편하다,Uncomfortable
피,blood
강,river
관객,audience
동작,movement
뜻하다,Mean
막,membrane
밀리미터,millimeter
비싸다,expensive
숫자,number
왼쪽,left
중세,Middle Ages
택시,taxi
통합,integrated
계산,Calculation
꼬리,tail
놀랍다,surprising
예전,Previous
주식,stock
틀리다,wrong
끊임없이,endlessly
모델,Model
상식,Common sense
상표,brand
시원하다,Cool
아니하다,Do not
어디,where
의식하다,Conscious
고모,aunt
궁금하다,I'm curious
둘러싸다,Surround
뛰다,run
민주화,democratization
보도,sidewalk
살피다,watch
않다,not
약하다,weak
잘못하다,do wrong
잡지,magazine
거부하다,Reject
공무원,public official
그만두다,Quit
댁,House
반갑다,nice to meet
부족,lack
실시,practice
운명,fate
재정,finance
차라리,rather
학자,Scholar
다녀오다,Go back
대규모,Large-scale
민간,Private sector
법원,court
비디오,video
사실상,virtually
아끼다,grudge
이쪽,this way
지대,belt
판단하다,Judge
행복하다,happy
굽다,bake
기름,Oil
실천하다,practice
쏟아지다,Pour out
연습,practice
오른쪽,Right side
용어,Terms
지위,status
풍부하다,Rich
화장실,restroom
기억하다,remember
식량,food
실험,Experiment
토론,debate
고급,Advanced
고생,hardship
미치다,crazy
밟다,to step on
상당하다,Equivalent
섞다,combine
수석,top
없애다,Delete
이뤄지다,Fulfill
적절하다,It is appropriate
제사,ancestral rites
주말,weekend
지혜,wisdom
참새,Sparrow
화장품,cosmetics
굵다,thick
깨끗이,clean
낡다,old
내년,next year
농산물,Agricultural products
눈앞,In front of the eyes
대학생,College student
방문하다,Visit
붉다,Be red
사고,accident
순서,order
아무래도,Maybe
연구소,laboratory
위대하다,Great
이사,move
지배하다,rule
틈,aperture
가령,chamberlain
거대하다,Huge
닫다,close
드물다,rare
들르다,drop in at
매달리다,Hang
생일,birthday
섬,island
이하,below
참석하다,Attend
토대,foundation
해결,solution
행복,Happiness
걸어가다,walk
근로자,worker
글쎄,Well
목숨,life
백화점,Department store
변화하다,Change
병,party
빠져나가다,Get out
안녕하다,Well
여론,public opinion
의복,cloth
체조,Gymnastics
출발하다,Depart
현실적,Realistic
화제,issue
결정되다,be decided
고양이,cat
공격,attack
물가,Prices
민주주의,democracy
불안,unrest
소중하다,precious
여유,relaxation
의문,question
중학교,middle School
킬로미터,kilometer
파도,tide
흰색,White
가수,singer
방송국,Broadcast stations
빛나다,shine
숨다,hide
실리다,Put on
압력,pressure
예금,Deposit
예상되다,Estimate
입학,Admission
증권,stock
직후,Immediately
차량,vehicle
출산,delivery
물다,bite
선진국,Developed countries
어느새,Suddenly
재판,trial
저쪽,there
제자,student
창문,window
초,candle
치즈,Cheese
회복,recovery
구역,area
대응,Response
반대하다,Oppose
발휘하다,Show off
소비,Consumption
심장,heart
아이고,Gosh
조용히,quietly
중소기업,SMEs
직접적,Direct
진실,truth
필자,Writer
협력,Cooperation
가스,gas
계층,hierarchy
구멍,hole
담당,in charge
만화,manga
먹이다,batten
무시하다,Ignore
보도하다,Report
살짝,a little
생각나다,Remind
우유,milk
차갑다,cold
철저하다,Be thoroughly
태아,fetus
관찰하다,Observe
괜히,in vain
날개,wing
녀석,guy
눈빛,a look
단지,just
두르다,borrow
드디어,finally
물속,Water
민주,Democracy
성공하다,Succeed
소나무,pine tree
여기저기,Here and there
여인,woman
운영하다,operate
평가하다,evaluate
필요성,Necessity
감추다,hide
머무르다,stay
부위,part
비우다,vacate
설치하다,Install
십일월,November
아울러,together
지시,instruction
형성하다,Form
형제,sibling
화려하다,Gorgeous
거울,mirror
덧붙이다,Add
딴,different
몇몇,some
무기,weapon
세계적,Worldwide
안전,safety
양파,onion
일종,Kind
처지,situation
촬영,filming
틀다,turn on
형편,Circumstances
가지,Branch
고추,pepper
규칙,rule
본질,nature
비치다,hint
빵,bread
서서히,slowly
스승,teacher
신분,Identity
실시되다,Be carried out
아마도,maybe
안방,Inner room
앓다,be ill
오직,Only
위험하다,Dangerous
자신,Myself
잠시,for awhile
졸업하다,graduate
증거,evidence
초점,focus
포함되다,to be included
호랑이,tiger
강화하다,Reinforce
공포,fear
권위,authority
덜,Less
둥글다,Round
미루다,Postpone
본래,originally
부엌,kitchen
세금,tax
실정,actual circumstances
영양,nutrition
육체,flesh
입구,Entrance
잔뜩,loads
적극,Aggressiveness
최소한,at least
펼쳐지다,Spread out
경험하다,Experience
그이,That
넘치다,spill over
놓치다,to let go
대기,Waiting
독립,Independent
돌아보다,Turn around
또다시,Again
머릿속,Head
북쪽,North
불안하다,Unstable
쇠고기,beef
위반,violation
카드,card
평생,forever
해당하다,Correspond
간부,Cadre
관념,Ideal
굉장히,greatly
단어,word
덮다,cover
도와주다,help
도입,Introduction
몰다,drive
배우,Actor
비추다,irradiate
신발,shoes
알,egg
앞서다,precede
여건,Conditions
오래전,lang syne
자격,Qualification
통제,Control
계단,Stairs
김치,Kimchi
끄덕이다,Nod
낯설다,strange
닮다,Resemble
마음속,In the heart
못지않다,As much as
반영하다,Reflect
뼈,bone
성장하다,Grow
소속,belong
연결되다,Connect
장사,business
제작,produce
제한,limit
추진,propel
취하다,get drunk
콩,bean
한숨,sigh
헤어지다,Say goodbye
구입하다,Buy
날다,fly
너머,Beyond
마련,prepared
살,fat
선장,Captain
설탕,sugar
순수하다,pure
스타일,style
시점,Sight
싸다,cheap
의사,doctor
집중,Concentration
코드,code
큰일,Great work
거짓말,lie
대단하다,Awesome
대단히,very
마주,Confrontation
세계관,Worldview
어제,yesterday
온통,all
의존하다,be dependent
자세히,Details
점심,lunch
정확히,exactly
지치다,exhausted
청년,youth
혀,tongue
확대하다,to enlarge
후춧가루,Pepper
건설하다,Build
경쟁력,Competitiveness
마침,Finish
신용,credit
연락,Communication
온몸,Whole body
정,affection
정신적,mental
증상,Symptom
출연하다,Appear
칼,knife
한꺼번에,At the same time
강제,compulsion
건너다,to cross
낚시,fishing
다가가다,Go closer
뛰어들다,Jump in
문자,message
비롯되다,Come from
슬프다,Im sad
여겨지다,Be considered
오징어,squid
요금,fee
용돈,Pin money
위주,Focus
음료,beverage
의자,chair
전자,former
전해지다,Convey
전환,transform
지경,Scope
진행,Progress
카메라,camera
통증,ache
편리하다,convenient
하천,River
현금,cash
화학,chemistry
활발하다,It is actively
거칠다,crudity
그나마,Donate
그야말로,Indeed
껍질,skin
남부,Southern
명령,Command
몰래,stealthily
무조건,must
반장,Class monitor
부근,vicinity
선택,Select
역사가,historian
연구자,Researcher
연기자,actor
워낙,So much
정리,organize
조그맣다,Small
줄기,stem
찾아내다,Find
토요일,Saturday
경찰관,police officer
권하다,recommend
극장,Theater
끝내,Finally
대문,main door
더욱이,Furthermore
별도,Separately
비극,tragedy
솜씨,workmanship
시내,downtown
신,god
실내,inside
쏟다,pour out
연결하다,Interlink
외교,diplomacy
주머니,pocket
계약,contract
과장,exaggeration
극,pole
나란히,side by side
다방,coffee house
부끄럽다,embarrassed
성공,success
수행하다,Conduct
신청,application
실로,Thread
아픔,pain
알아듣다,understand
약간,slightly
이동,move
인연,Destiny
일행,party
지도,map
지식인,intellectual
진지하다,Serious
호흡,Breath
흔들리다,Oscillate
근본,Fundamental
기온,Temperatures
날아가다,Fly off
많아지다,Increase
바위,rock
버릇,Habit
비판하다,Criticize
빨갛다,Red
세워지다,Set up
술집,bar
쉬다,rest
오랜만,Long time no see
일부러,Intentionally
전체적,Overall
절반,half
접근하다,draw close
편안하다,It is comfortable
풍경,Scenery
확실히,exactly
흩어지다,scatter
교류,A.C
글쓰기,writing
기후,climate
내내,all the time
대기업,major company
대응하다,react
도구,tool
매력,Charm
보험,insurance
부럽다,envy
부장,Director
섞이다,be mixed
소,cow
심리,trial
심정,Feelings
쏘다,shot
아줌마,Madame
위치하다,to be placed
이룩하다,Be able to
이틀,Two days
전달하다,Convey
정말로,really
추다,dance
켜다,turn on
코너,corner
행동하다,Act
형사,detective
희곡,drama
감동,impression
공항,airport
군인,soldier
굳이,Dare
그늘,shade
급하다,in a hurry
달걀,egg
대중문화,Popular culture
마련되다,Set up
마루,Floor
무게,weight
물기,Water
